id,title,assignee,inventor,priority_date,creation_date,publication_date,grant_date,result_link,representative_figure_link,number_of_authors,number_of_viewers
US-11907955-B2,System and method for blockchain automatic tracing of money flow using artificial intelligence ,Anchain.ai Inc.,"Chunsheng Victor Fang, Wei Quan, Han Xu, Shuling He",2020-08-28,2021-06-24,2024-02-20,2024-02-20,https://patents.google.com/patent/US11907955B2/en,https://patentimages.storage.googleapis.com/2e/3e/da/7ece5c809e494a/US11907955-20240220-D00000.png,one,20122
US-12061446-B2,Building management system with artificial intelligence for unified agent based control of building subsystems ,Johnson Controls Technology Company,"Robert Locke, Sudhi R. Sinha",2017-06-15,2023-10-02,2024-08-13,2024-08-13,https://patents.google.com/patent/US12061446B2/en,https://patentimages.storage.googleapis.com/89/8a/51/ecad1b29472830/US12061446-20240813-D00000.png,one,20123
US-11036642-B2,Architectural enhancements for computing systems having artificial intelligence logic disposed locally to memory ,Intel Corporation,"Francesc Guim Bernat, Dimitrios Ziakas, Mark A. Schmisseur, Kshitij A. Doshi, Kimberly A. Malone",2019-04-26,2019-04-26,2021-06-15,2021-06-15,https://patents.google.com/patent/US11036642B2/en,https://patentimages.storage.googleapis.com/9a/9e/0a/c0903e42ffdd3b/US11036642-20210615-D00000.png,one,20124
EP-3692900-B1,Artificial intelligence self-learning-based static electrocardiography analysis method and apparatus ,"Shanghai Lepu CloudMed Co.,LTD","Jun Cao, Kaifeng ZANG, Youchao LV, Pengfei Zhao, Erbin WANG, Chang Liu",2017-11-27,2018-01-12,2024-08-28,2024-08-28,https://patents.google.com/patent/EP3692900B1/en,https://patentimages.storage.googleapis.com/5e/69/ad/19bc0d4b860f1a/imgf0001.png,one,20125
US-11710034-B2,Misuse index for explainable artificial intelligence in computing environments ,Intel Corporation,"Glen J. Anderson, Rajesh Poornachandran, Kshitij Doshi",2019-02-27,2019-02-27,2023-07-25,2023-07-25,https://patents.google.com/patent/US11710034B2/en,https://patentimages.storage.googleapis.com/39/34/db/6f453bebb96e1d/US11710034-20230725-D00000.png,one,20126
US-10938650-B1,"System, method, and computer program for improving a quality of experience based on artificial intelligence ",Amdocs Development Limited,"Ofer Hermoni, Eyal Felstaine",2018-03-07,2019-02-20,2021-03-02,2021-03-02,https://patents.google.com/patent/US10938650B1/en,https://patentimages.storage.googleapis.com/b9/02/33/926925e8f6c0a9/US10938650-20210302-D00000.png,one,20127
US-9798960-B2,Identification of item attributes using artificial intelligence ,"Amazon Technologies, Inc.","Anthony Alexander Santos, Adam James Finkelstein, David Akira Gingrich, David Michael Hurley, Siqi ZHAO",2014-12-17,2017-01-24,2017-10-24,2017-10-24,https://patents.google.com/patent/US9798960B2/en,https://patentimages.storage.googleapis.com/d4/c3/af/d00afbc65db356/US09798960-20171024-D00000.png,one,20128
US-10664504-B2,Interaction method and apparatus based on artificial intelligence ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Liwei Chen, Xiao Zhou, Dianhai YU, Shiqi Zhao",2017-05-22,2018-02-07,2020-05-26,2020-05-26,https://patents.google.com/patent/US10664504B2/en,https://patentimages.storage.googleapis.com/8b/40/1a/5917254d753880/US10664504-20200526-D00000.png,one,20129
US-11928570-B2,Artificial intelligence methods and systems for generation and implementation of alimentary instruction sets ,"Kpn Innovations, Llc.",Kenneth Neumann,2019-04-04,2021-12-03,2024-03-12,2024-03-12,https://patents.google.com/patent/US11928570B2/en,https://patentimages.storage.googleapis.com/ee/30/08/339b3985676b97/US11928570-20240312-D00000.png,one,20130
US-2019332921-A1,Decentralized storage structures and methods for artificial intelligence systems ,"Vosai, Inc.",Daniel Jose Rodriguez,2018-04-13,2019-04-12,2019-10-31,,https://patents.google.com/patent/US20190332921A1/en,https://patentimages.storage.googleapis.com/18/23/27/1ea2f280a038bb/US20190332921A1-20191031-D00000.png,one,20131
US-11488576-B2,Artificial intelligence apparatus for generating text or speech having content-based style and method for the same ,Lg Electronics Inc.,"Jisoo PARK, Jonghoon CHAE",2019-05-21,2019-05-21,2022-11-01,2022-11-01,https://patents.google.com/patent/US11488576B2/en,https://patentimages.storage.googleapis.com/88/b3/a6/cc66988e435b55/US11488576-20221101-D00000.png,one,20132
US-11960907-B2,Configuring an electronic device using artificial intelligence ,"Microsoft Technology Licensing, Llc","Chen Liang, Bryston M. NITTA, Shayak Lahiri, Adrian Francisco Teran GUAJARDO",2018-05-02,2022-09-26,2024-04-16,2024-04-16,https://patents.google.com/patent/US11960907B2/en,https://patentimages.storage.googleapis.com/fb/44/2f/a0f2c03ddc808b/US11960907-20240416-D00000.png,one,20133
